edges,semiCore,bottomUp,speedUp
4,3.4332275390625e-05,8.3665053049723312e-05,2.436
16,1.8358230590820312e-05,0.00010865926742553711,5.918
64,3.2981236775716148e-05,0.00017301241556803385,5.245
256,7.0671240488688156e-05,0.00051867961883544922,7.339
1024,0.00014132261276245117,0.002402325471242269,16.998
4096,0.0004603266716003418,0.011462350686391195,24.9
16384,0.0013356606165568035,0.050429324309031166,37.756
65536,0.0051569938659667969,0.23949666817982992,46.441
262144,0.019033650557200115,1.0286220113436382,54.042
1048576,0.074305335680643722,4.548351327578227,61.211
4194304,0.29099599520365399,20.960675994555157,72.03
16777216,1.1757446527481079,93.173633337020874,79.246
67108864,4.5788336793581648,487.79078900814056,106.531
