edges,semiCore,imCore,speedUp
4,0.00010895729064941406,0.000186006228129069,1.707
8,7.0333480834960938e-05,0.00030432144800821942,4.326
16,6.9340070088704423e-05,0.00041800737380981445,6.028
32,7.7664852142333984e-05,0.0014460086822509766,18.618
64,0.00012967983881632486,0.0041489998499552412,31.994
128,0.0001663366953531901,0.016158342361450195,97.142
256,0.0003203550974527995,0.06135366360346476,191.517
512,0.00049734115600585938,0.23586400349934897,474.249
1024,0.00087336699167887366,0.95792398850123084,1096.817
2048,0.0015669862429300945,3.8074406584103904,2429.785
4096,0.0030780037244160971,15.330114662647247,4980.538
8192,0.0063056747118632002,63.150316695372261,10014.838
16384,0.011829992135365805,250.45658467213312,21171.323
