edges,semiCore,imCore
4,0.00011,0.00017
16,0.000062,0.00021
64,0.000072,0.00055
256,0.000097,0.0018
1024,0.00021,0.0085
4096,0.0005,0.047
16384,0.0015,0.31
65536,0.0043,2.1
262144,0.017,15.6
1048576,0.07,120.8
